generation,achievement_name,unlock_rate,count,pop_size
1,collect_sapling,0.2200,11,50
1,wake_up,0.1400,7,50
1,eat_cow,0.0400,2,50
1,defeat_zombie,0.0200,1,50
1,place_plant,0.0200,1,50
1,collect_wood,0.0200,1,50
2,collect_sapling,0.1633,8,49
2,wake_up,0.1429,7,49
2,defeat_zombie,0.0408,2,49
2,collect_wood,0.0204,1,49
2,eat_cow,0.0204,1,49
2,place_plant,0.0204,1,49
3,wake_up,0.3878,19,49
3,collect_sapling,0.2245,11,49
3,defeat_zombie,0.0408,2,49
3,eat_cow,0.0204,1,49
3,place_plant,0.0204,1,49
4,wake_up,0.3265,16,49
4,collect_sapling,0.1837,9,49
4,defeat_zombie,0.0408,2,49
4,place_plant,0.0408,2,49
5,wake_up,0.4490,22,49
5,collect_sapling,0.2653,13,49
5,defeat_zombie,0.1020,5,49
5,collect_drink,0.0204,1,49
6,wake_up,0.4490,22,49
6,collect_sapling,0.2653,13,49
6,eat_cow,0.0408,2,49
6,collect_drink,0.0204,1,49
6,collect_wood,0.0204,1,49
7,wake_up,0.3061,15,49
7,collect_sapling,0.2449,12,49
7,defeat_zombie,0.0816,4,49
7,collect_wood,0.0408,2,49
7,collect_drink,0.0204,1,49
7,eat_cow,0.0204,1,49
8,collect_sapling,0.3673,18,49
8,wake_up,0.2653,13,49
8,eat_cow,0.0408,2,49
8,collect_drink,0.0204,1,49
8,defeat_zombie,0.0204,1,49
8,place_plant,0.0204,1,49
9,collect_sapling,0.2857,14,49
9,wake_up,0.2857,14,49
9,defeat_zombie,0.0816,4,49
9,place_plant,0.0204,1,49
9,eat_cow,0.0204,1,49
10,collect_sapling,0.4082,20,49
10,wake_up,0.2245,11,49
10,eat_cow,0.1020,5,49
10,defeat_zombie,0.0816,4,49
11,collect_sapling,0.4694,23,49
11,wake_up,0.1020,5,49
11,eat_cow,0.0816,4,49
11,place_plant,0.0408,2,49
11,defeat_zombie,0.0204,1,49
12,collect_sapling,0.6122,30,49
12,defeat_zombie,0.1633,8,49
12,eat_cow,0.0816,4,49
12,collect_wood,0.0612,3,49
12,wake_up,0.0612,3,49
12,collect_drink,0.0204,1,49
13,collect_sapling,0.4490,22,49
13,wake_up,0.0816,4,49
13,eat_cow,0.0612,3,49
13,collect_wood,0.0204,1,49
14,collect_sapling,0.5714,28,49
14,wake_up,0.2245,11,49
14,defeat_zombie,0.1224,6,49
14,eat_cow,0.0408,2,49
14,place_plant,0.0204,1,49
15,collect_sapling,0.5306,26,49
15,wake_up,0.1837,9,49
15,defeat_zombie,0.1633,8,49
15,eat_cow,0.0612,3,49
15,collect_wood,0.0204,1,49
16,collect_sapling,0.6531,32,49
16,wake_up,0.2653,13,49
16,eat_cow,0.1633,8,49
16,defeat_zombie,0.0612,3,49
16,collect_wood,0.0204,1,49
17,collect_sapling,0.3469,17,49
17,wake_up,0.2857,14,49
17,eat_cow,0.0612,3,49
17,collect_wood,0.0408,2,49
17,defeat_zombie,0.0204,1,49
17,collect_drink,0.0204,1,49
17,place_plant,0.0204,1,49
18,collect_sapling,0.6122,30,49
18,wake_up,0.1224,6,49
18,eat_cow,0.1020,5,49
18,defeat_zombie,0.0612,3,49
18,place_plant,0.0408,2,49
18,collect_wood,0.0204,1,49
19,collect_sapling,0.6735,33,49
19,wake_up,0.1224,6,49
19,defeat_zombie,0.1020,5,49
19,eat_cow,0.0612,3,49
19,collect_wood,0.0408,2,49
20,collect_sapling,0.5510,27,49
20,wake_up,0.2041,10,49
20,defeat_zombie,0.1020,5,49
20,eat_cow,0.0816,4,49
20,collect_wood,0.0408,2,49
